"clusterID_integrated.harmony","majorID","colz","majCol","newCol"
0,"mac",NA,NA,"#93AA00"
1,"mac",NA,"yes","#67B100"
2,"neut",NA,"yes","#9390FF"
3,"mac",NA,NA,"#00B818"
4,"tcell",NA,"yes","#F763DF"
5,"mac",NA,NA,"#00C088"
6,"cycling",NA,"yes","#CC9600"
7,"cycling",NA,NA,"#B3A000"
8,"mac",NA,NA,"#00C1AB"
9,"mac",NA,NA,"#00BEC9"
10,"tcell",NA,NA,"#FF61C3"
11,"neut",NA,NA,"#C47EFF"
12,"mac",NA,NA,"#00B9E3"
13,"bcell",NA,"yes","#F07E4B"
14,"mac",NA,NA,"#00AFF8"
15,"mac",NA,NA,"#38A1FF"
16,"tcell",NA,NA,"#FF68A2"
17,"tcell",NA,NA,"#FB727B"
