"clusterID_integrated.harmony","majorID","colz","majCol","newCol"
0,"Macrophage",NA,NA,"#93AA00"
1,"Macrophage",NA,"yes","#67B100"
2,"Macrophage",NA,"yes","#9390FF"
3,"Neutrophil",NA,NA,"#00B818"
4,"Macrophage",NA,"yes","#F763DF"
5,"tcell",NA,NA,"#00C088"
6,"Neutrophil",NA,"yes","#CC9600"
7,"Macrophage",NA,NA,"#B3A000"
8,"cycling",NA,NA,"#00C1AB"
9,"cycling",NA,NA,"#00BEC9"
10,"tcell",NA,NA,"#FF61C3"
11,"Macrophage",NA,NA,"#C47EFF"
12,"Macrophage",NA,NA,"#00B9E3"
13,"Macrophage",NA,"yes","#F07E4B"
14,"Macrophage",NA,NA,"#00AFF8"
15,"bcell",NA,NA,"#38A1FF"
16,"bcell",NA,NA,"#FF68A2"
17,"tcell",NA,NA,"#FB727B"
18,"Macrophage",NA,NA,"#FB746A"
