"clusterID_integrated.harmony","majorID","colz","majCol","newCol"
0,"Macrophage",NA,NA,"#9033FF"
1,"Macrophage",NA,"yes","#BB33FF"
2,"Macrophage",NA,"yes","#DA33FF"
3,"Neutrophil",NA,NA,"#B8571B"
4,"Macrophage",NA,"yes","#FC33FF"
5,"T Cell",NA,NA,"#337DFF"
6,"Neutrophil",NA,"yes","#D37725"
7,"Macrophage",NA,NA,"#FF33DD"
8,"Cycling Macrophage",NA,NA,"#BEFF33"
9,"Cycling Macrophage",NA,NA,"#E6FF33"
10,"T Cell",NA,NA,"#4633FF"
11,"Macrophage",NA,NA,"#FF33C1"
12,"Macrophage",NA,NA,"#F033FF"
13,"Macrophage",NA,"yes","#FF33A5"
14,"Macrophage",NA,NA,"#C433FF"
15,"B Cell",NA,NA,"#1EB77A"
16,"B Cell",NA,NA,"#34A55A"
17,"Cycling T Cell",NA,NA,"#4D4883"
18,"Macrophage",NA,NA,"#FF33D7"
